molecule,functional,basis,wavelength,intensity
Eos_1,M06,6-31+G**,478,0.006442948977082792
Eos_1,M06,6-31+G**,479,0.006317688761189028
Eos_1,M06,6-31+G**,480,0.006190859947958378
Eos_1,M06,6-31+G**,481,0.006062708178047686
Eos_1,M06,6-31+G**,482,0.0059334727184493655
Eos_1,M06,6-31+G**,483,0.005803385996495788
Eos_1,M06,6-31+G**,484,0.0056726731846915976
Eos_1,M06,6-31+G**,485,0.005541551835462367
Eos_1,M06,6-31+G**,486,0.005410231564684648
Eos_1,M06,6-31+G**,487,0.00527891378266177
Eos_1,M06,6-31+G**,488,0.00514779147103152
Eos_1,M06,6-31+G**,489,0.005017049003935862
Eos_1,M06,6-31+G**,490,0.004886862011648262
Eos_1,M06,6-31+G**,491,0.00475739728474083
Eos_1,M06,6-31+G**,492,0.004628812716779654
Eos_1,M06,6-31+G**,493,0.00450125728346299
Eos_1,M06,6-31+G**,494,0.004374871056060594
Eos_1,M06,6-31+G**,495,0.004249785246974056
Eos_1,M06,6-31+G**,496,0.004126122285215596
Eos_1,M06,6-31+G**,497,0.004003995919594987
Eos_1,M06,6-31+G**,498,0.0038835113474111377
Eos_1,M06,6-31+G**,499,0.0037647653664641396
Eos_1,M06,6-31+G**,500,0.0036478465482339658
Eos_1,M06,6-31+G**,501,0.0035328354301142673
Eos_1,M06,6-31+G**,502,0.0034198047246396684
Eos_1,M06,6-31+G**,503,0.003308819543704382
Eos_1,M06,6-31+G**,504,0.003199937635836228
Eos_1,M06,6-31+G**,505,0.0030932096346623526
Eos_1,M06,6-31+G**,506,0.002988679316780651
Eos_1,M06,6-31+G**,507,0.00288638386733268
Eos_1,M06,6-31+G**,508,0.0027863541516592884
Eos_1,M06,6-31+G**,509,0.002688614991507682
Eos_1,M06,6-31+G**,510,0.00259318544434836
Eos_1,M06,6-31+G**,511,0.0025000790844510313
Eos_1,M06,6-31+G**,512,0.0024093042844593794
Eos_1,M06,6-31+G**,513,0.002320864496295494
Eos_1,M06,6-31+G**,514,0.0022347585303147434
Eos_1,M06,6-31+G**,515,0.0021509808317204896
Eos_1,M06,6-31+G**,516,0.002069521753335226
Eos_1,M06,6-31+G**,517,0.00199036782390943
